seed,beta,duration,heartbeats_sent,heartbeats_delivered,false_elections,safety_violations,availability
12,0.65,10.0,608,410,1,118,0.15993182470984502
12,0.7000000000000001,10.0,572,374,1,119,0.1484142597350624
12,0.75,10.0,532,337,4,84,0.13801190792659512
12,0.8,10.0,484,298,4,88,0.13039965510278473
12,0.8500000000000001,10.0,424,254,4,86,0.12209902119499527
12,0.9,10.0,352,205,4,63,0.11531752981533505
13,0.0,10.0,804,715,0,196,1.0
13,0.05,10.0,800,754,0,293,1.0
13,0.1,10.0,796,790,0,284,1.0
13,0.15000000000000002,10.0,792,763,0,180,1.0
13,0.2,10.0,784,726,0,182,1.0
13,0.25,10.0,776,688,0,198,1.0
13,0.30000000000000004,10.0,764,652,0,187,1.0
13,0.35000000000000003,10.0,752,617,0,177,1.0
13,0.4,10.0,736,582,0,184,1.0
13,0.45,10.0,716,548,0,154,1.0
13,0.5,10.0,696,514,0,154,1.0
13,0.55,10.0,672,480,0,144,1.0
13,0.6000000000000001,10.0,644,446,1,134,0.17900154665378332
13,0.65,10.0,608,410,1,131,0.15991794535175308
13,0.7000000000000001,10.0,572,374,1,103,0.14840543593766076
13,0.75,10.0,532,337,4,100,0.13800141062761673
13,0.8,10.0,484,297,4,90,0.13034737314559008
13,0.8500000000000001,10.0,424,254,4,94,0.12208893889338879
13,0.9,10.0,352,205,4,57,0.11531592283072456
14,0.0,10.0,800,714,0,197,1.0
14,0.05,10.0,800,754,0,320,1.0
14,0.1,10.0,796,790,0,249,1.0
14,0.15000000000000002,10.0,792,763,0,199,1.0
14,0.2,10.0,784,726,0,165,1.0
14,0.25,10.0,776,688,0,186,1.0
14,0.30000000000000004,10.0,764,652,0,188,1.0
14,0.35000000000000003,10.0,752,617,0,189,1.0
14,0.4,10.0,736,582,0,158,1.0
14,0.45,10.0,716,548,0,156,1.0
14,0.5,10.0,696,514,0,135,1.0
14,0.55,10.0,672,480,0,135,1.0
14,0.6000000000000001,10.0,640,444,1,129,0.1790035909820784
14,0.65,10.0,608,410,1,113,0.15992114136685998
14,0.7000000000000001,10.0,572,374,1,115,0.14840510834324872
14,0.75,10.0,532,337,4,94,0.137998638552553
14,0.8,10.0,480,297,4,90,0.13034593034446118
14,0.8500000000000001,10.0,424,254,4,89,0.12208991139460923
14,0.9,10.0,352,205,4,61,0.11531562217709435
15,0.0,10.0,804,715,0,196,1.0
15,0.05,10.0,800,754,0,312,1.0
15,0.1,10.0,796,790,0,266,1.0
15,0.15000000000000002,10.0,792,763,0,187,1.0
15,0.2,10.0,784,726,0,192,1.0
15,0.25,10.0,776,688,0,184,1.0
15,0.30000000000000004,10.0,764,652,0,186,1.0
15,0.35000000000000003,10.0,752,617,0,160,1.0
15,0.4,10.0,736,582,0,172,1.0
15,0.45,10.0,716,548,0,149,1.0
15,0.5,10.0,696,514,0,154,1.0
15,0.55,10.0,672,480,0,134,1.0
15,0.6000000000000001,10.0,644,444,1,129,0.1790698306061559
15,0.65,10.0,608,410,1,109,0.15992046567194862
15,0.7000000000000001,10.0,572,374,1,123,0.14841297721555036
15,0.75,10.0,532,337,4,103,0.13800755119691088
15,0.8,10.0,480,297,4,85,0.13039579013951352
15,0.8500000000000001,10.0,424,254,4,79,0.12209523226709584
15,0.9,10.0,352,205,4,62,0.11531775151855128
16,0.0,10.0,800,714,0,203,1.0
16,0.05,10.0,800,754,0,296,1.0
16,0.1,10.0,796,790,0,267,1.0
16,0.15000000000000002,10.0,792,763,0,216,1.0
16,0.2,10.0,784,726,0,198,1.0
16,0.25,10.0,776,688,0,171,1.0
16,0.30000000000000004,10.0,764,652,0,211,1.0
16,0.35000000000000003,10.0,752,617,0,176,1.0
16,0.4,10.0,736,582,0,170,1.0
16,0.45,10.0,716,548,0,157,1.0
16,0.5,10.0,696,514,0,155,1.0
16,0.55,10.0,672,480,0,155,1.0
16,0.6000000000000001,10.0,640,444,1,132,0.17901276548580436
16,0.65,10.0,608,410,1,145,0.15992360933299232
16,0.7000000000000001,10.0,572,374,1,122,0.14841256011965842
16,0.75,10.0,532,337,4,86,0.13801123812099048
16,0.8,10.0,484,297,4,97,0.1303790336126962
16,0.8500000000000001,10.0,424,254,4,79,0.1220961131062428
16,0.9,10.0,352,205,4,73,0.11531730344330415
17,0.0,10.0,804,715,0,207,1.0
17,0.05,10.0,800,754,0,297,1.0
17,0.1,10.0,800,791,0,273,1.0
17,0.15000000000000002,10.0,792,763,0,220,1.0
17,0.2,10.0,784,726,0,199,1.0
17,0.25,10.0,776,688,0,187,1.0
17,0.30000000000000004,10.0,764,652,0,176,1.0
17,0.35000000000000003,10.0,752,617,0,182,1.0
17,0.4,10.0,736,582,0,162,1.0
17,0.45,10.0,716,548,0,154,1.0
17,0.5,10.0,696,514,0,148,1.0
17,0.55,10.0,672,480,0,135,1.0
17,0.6000000000000001,10.0,644,445,1,132,0.17902061444239048
17,0.65,10.0,608,410,1,119,0.1599263855793659
17,0.7000000000000001,10.0,572,374,1,106,0.1484164730439067
17,0.75,10.0,532,337,4,106,0.13801231491515265
17,0.8,10.0,484,298,4,97,0.13040842134355368
17,0.8500000000000001,10.0,424,254,4,79,0.12209511029832609
17,0.9,10.0,352,205,4,70,0.11531941071979956
18,0.0,10.0,800,714,0,205,1.0
18,0.05,10.0,800,754,0,290,1.0
18,0.1,10.0,796,790,0,279,1.0
18,0.15000000000000002,10.0,792,763,0,193,1.0
18,0.2,10.0,784,726,0,204,1.0
18,0.25,10.0,776,688,0,176,1.0
18,0.30000000000000004,10.0,764,652,0,173,1.0
18,0.35000000000000003,10.0,752,617,0,176,1.0
18,0.4,10.0,736,582,0,159,1.0
18,0.45,10.0,716,548,0,150,1.0
18,0.5,10.0,696,514,0,145,1.0
18,0.55,10.0,672,480,0,137,1.0
18,0.6000000000000001,10.0,640,444,1,137,0.1791103350626717
18,0.65,10.0,608,410,1,135,0.15993145901026262
18,0.7000000000000001,10.0,572,374,1,107,0.14842040923535327
18,0.75,10.0,532,337,4,102,0.13801343242617803
