seed,beta,duration,heartbeats_sent,heartbeats_delivered,false_elections,safety_violations,availability
6,0.25,10.0,776,688,4,215,0.014999999999999902
6,0.30000000000000004,10.0,764,652,4,195,0.015000000000000013
6,0.35000000000000003,10.0,752,617,4,169,0.015000000000000013
6,0.4,10.0,736,582,4,175,0.015000000000000013
6,0.45,10.0,716,548,4,155,0.015000000000000013
6,0.5,10.0,696,514,4,145,0.015000000000000013
6,0.55,10.0,672,480,4,157,0.014999999999999902
6,0.6000000000000001,10.0,644,445,4,119,0.015000000000000013
6,0.65,10.0,608,410,4,115,0.014999999999999902
6,0.7000000000000001,10.0,572,374,4,108,0.015000000000000013
6,0.75,10.0,532,337,4,110,0.015000000000000013
6,0.8,10.0,480,297,4,98,0.014999999999999902
6,0.8500000000000001,10.0,424,254,4,71,0.015000000000000013
6,0.9,10.0,352,205,4,61,0.014999999999999902
7,0.0,10.0,800,715,4,172,0.014999999999999902
7,0.05,10.0,800,754,4,304,0.015000000000000013
7,0.1,10.0,796,790,4,274,0.015000000000000013
7,0.15000000000000002,10.0,792,763,4,189,0.015000000000000013
7,0.2,10.0,784,726,4,172,0.014999999999999902
7,0.25,10.0,776,688,4,215,0.014999999999999902
7,0.30000000000000004,10.0,764,652,4,195,0.015000000000000013
7,0.35000000000000003,10.0,752,617,4,169,0.015000000000000013
7,0.4,10.0,736,582,4,175,0.015000000000000013
7,0.45,10.0,716,548,4,155,0.015000000000000013
7,0.5,10.0,696,514,4,145,0.015000000000000013
7,0.55,10.0,672,480,4,157,0.014999999999999902
7,0.6000000000000001,10.0,644,445,4,119,0.015000000000000013
7,0.65,10.0,608,410,4,115,0.014999999999999902
7,0.7000000000000001,10.0,572,374,4,108,0.015000000000000013
7,0.75,10.0,532,337,4,110,0.015000000000000013
7,0.8,10.0,480,297,4,98,0.014999999999999902
7,0.8500000000000001,10.0,424,254,4,71,0.015000000000000013
7,0.9,10.0,352,205,4,61,0.014999999999999902
8,0.0,10.0,800,715,4,172,0.014999999999999902
8,0.05,10.0,800,754,4,304,0.015000000000000013
8,0.1,10.0,796,790,4,274,0.015000000000000013
8,0.15000000000000002,10.0,792,763,4,189,0.015000000000000013
8,0.2,10.0,784,726,4,172,0.014999999999999902
8,0.25,10.0,776,688,4,215,0.014999999999999902
8,0.30000000000000004,10.0,764,652,4,195,0.015000000000000013
8,0.35000000000000003,10.0,752,617,4,169,0.015000000000000013
8,0.4,10.0,736,582,4,175,0.015000000000000013
8,0.45,10.0,716,548,4,155,0.015000000000000013
8,0.5,10.0,696,514,4,145,0.015000000000000013
8,0.55,10.0,672,480,4,157,0.014999999999999902
8,0.6000000000000001,10.0,644,445,4,119,0.015000000000000013
8,0.65,10.0,608,410,4,115,0.014999999999999902
8,0.7000000000000001,10.0,572,374,4,108,0.015000000000000013
8,0.75,10.0,532,337,4,110,0.015000000000000013
8,0.8,10.0,480,297,4,98,0.014999999999999902
8,0.8500000000000001,10.0,424,254,4,71,0.015000000000000013
8,0.9,10.0,352,205,4,61,0.014999999999999902
9,0.0,10.0,800,715,4,172,0.014999999999999902
9,0.05,10.0,800,754,4,304,0.015000000000000013
9,0.1,10.0,796,790,4,274,0.015000000000000013
9,0.15000000000000002,10.0,792,763,4,189,0.015000000000000013
9,0.2,10.0,784,726,4,172,0.014999999999999902
9,0.25,10.0,776,688,4,215,0.014999999999999902
9,0.30000000000000004,10.0,764,652,4,195,0.015000000000000013
9,0.35000000000000003,10.0,752,617,4,169,0.015000000000000013
9,0.4,10.0,736,582,4,175,0.015000000000000013
9,0.45,10.0,716,548,4,155,0.015000000000000013
9,0.5,10.0,696,514,4,145,0.015000000000000013
9,0.55,10.0,672,480,4,157,0.014999999999999902
9,0.6000000000000001,10.0,644,445,4,119,0.015000000000000013
9,0.65,10.0,608,410,4,115,0.014999999999999902
9,0.7000000000000001,10.0,572,374,4,108,0.015000000000000013
9,0.75,10.0,532,337,4,110,0.015000000000000013
9,0.8,10.0,480,297,4,98,0.014999999999999902
9,0.8500000000000001,10.0,424,254,4,71,0.015000000000000013
9,0.9,10.0,352,205,4,61,0.014999999999999902
10,0.0,10.0,800,715,4,172,0.014999999999999902
10,0.05,10.0,800,754,4,304,0.015000000000000013
10,0.1,10.0,796,790,4,274,0.015000000000000013
10,0.15000000000000002,10.0,792,763,4,189,0.015000000000000013
10,0.2,10.0,784,726,4,172,0.014999999999999902
