seed,beta_pair,total_writes,spacelike_writes,causal_violation_rate,merge_overhead_ms
37,0.0-0.8,5000,5000,1.0,6.216680916286207e6
37,0.5-0.8,5000,5000,1.0,1.0646855600834485e7
38,0.0-0.5,5000,5000,1.0,5.669571321801145e6
38,0.0-0.8,5000,5000,1.0,6.21663253026791e6
38,0.5-0.8,5000,5000,1.0,1.0646788258025922e7
39,0.0-0.5,5000,5000,1.0,5.66960166801488e6
39,0.0-0.8,5000,5000,1.0,6.216696628569731e6
39,0.5-0.8,5000,5000,1.0,1.064681798202669e7
40,0.0-0.5,5000,5000,1.0,5.669507865383623e6
40,0.0-0.8,5000,5000,1.0,6.216533797307538e6
40,0.5-0.8,5000,5000,1.0,1.0646794477537058e7
41,0.0-0.5,5000,5000,1.0,5.669597713543025e6
41,0.0-0.8,5000,5000,1.0,6.216582317739107e6
41,0.5-0.8,5000,5000,1.0,1.0646783845820434e7
42,0.0-0.5,5000,5000,1.0,5.669588185305064e6
42,0.0-0.8,5000,5000,1.0,6.216668667879518e6
42,0.5-0.8,5000,5000,1.0,1.0646728349148517e7
43,0.0-0.5,5000,5000,1.0,5.669488330054098e6
43,0.0-0.8,5000,5000,1.0,6.21660875726825e6
43,0.5-0.8,5000,5000,1.0,1.0646874869066793e7
44,0.0-0.5,5000,5000,1.0,5.669520991849459e6
44,0.0-0.8,5000,5000,1.0,6.216697507965114e6
44,0.5-0.8,5000,5000,1.0,1.064674015721963e7
45,0.0-0.5,5000,5000,1.0,5.669572766424134e6
45,0.0-0.8,5000,5000,1.0,6.216642542970474e6
45,0.5-0.8,5000,5000,1.0,1.0646834807432467e7
46,0.0-0.5,5000,5000,1.0,5.6695007576119285e6
46,0.0-0.8,5000,5000,1.0,6.216640633212019e6
46,0.5-0.8,5000,5000,1.0,1.0646791203017429e7
47,0.0-0.5,5000,5000,1.0,5.669576225017269e6
47,0.0-0.8,5000,5000,1.0,6.216647099507139e6
47,0.5-0.8,5000,5000,1.0,1.0646757337216374e7
48,0.0-0.5,5000,5000,1.0,5.669547961896769e6
48,0.0-0.8,5000,5000,1.0,6.216651494845521e6
48,0.5-0.8,5000,5000,1.0,1.0646750164752185e7
49,0.0-0.5,5000,5000,1.0,5.66955479952145e6
49,0.0-0.8,5000,5000,1.0,6.2165976595161455e6
49,0.5-0.8,5000,5000,1.0,1.0646769486273866e7
50,0.0-0.5,5000,5000,1.0,5.669579733437864e6
50,0.0-0.8,5000,5000,1.0,6.216547264106224e6
50,0.5-0.8,5000,5000,1.0,1.0646756278436342e7
51,0.0-0.5,5000,5000,1.0,5.669514469567535e6
51,0.0-0.8,5000,5000,1.0,6.216603786681607e6
51,0.5-0.8,5000,5000,1.0,1.064682665924249e7
52,0.0-0.5,5000,5000,1.0,5.669524120232342e6
52,0.0-0.8,5000,5000,1.0,6.216629926920392e6
52,0.5-0.8,5000,5000,1.0,1.0646784479498915e7
53,0.0-0.5,5000,5000,1.0,5.66956640873271e6
53,0.0-0.8,5000,5000,1.0,6.21657648711402e6
53,0.5-0.8,5000,5000,1.0,1.0646781757545235e7
54,0.0-0.5,5000,5000,1.0,5.6695998877729075e6
54,0.0-0.8,5000,5000,1.0,6.216651009688406e6
54,0.5-0.8,5000,5000,1.0,1.0646783645512901e7
55,0.0-0.5,5000,5000,1.0,5.669554873706859e6
55,0.0-0.8,5000,5000,1.0,6.216639694703881e6
55,0.5-0.8,5000,5000,1.0,1.0646772914826129e7
56,0.0-0.5,5000,5000,1.0,5.66952947565344e6
56,0.0-0.8,5000,5000,1.0,6.2165853848288255e6
56,0.5-0.8,5000,5000,1.0,1.0646739524996622e7
57,0.0-0.5,5000,5000,1.0,5.6695313716451945e6
57,0.0-0.8,5000,5000,1.0,6.216621082081718e6
57,0.5-0.8,5000,5000,1.0,1.0646830123394536e7
58,0.0-0.5,5000,5000,1.0,5.669562554834123e6
58,0.0-0.8,5000,5000,1.0,6.216625169571924e6
58,0.5-0.8,5000,5000,1.0,1.0646876504332291e7
59,0.0-0.5,5000,5000,1.0,5.669587696876287e6
59,0.0-0.8,5000,5000,1.0,6.216672587203313e6
59,0.5-0.8,5000,5000,1.0,1.064688521119256e7
60,0.0-0.5,5000,5000,1.0,5.669495567797323e6
60,0.0-0.8,5000,5000,1.0,6.21655024960369e6
60,0.5-0.8,5000,5000,1.0,1.0646756033061802e7
61,0.0-0.5,5000,5000,1.0,5.669552358768885e6
61,0.0-0.8,5000,5000,1.0,6.216688133090081e6
61,0.5-0.8,5000,5000,1.0,1.0646833423497213e7
62,0.0-0.5,5000,5000,1.0,5.669570518346828e6
62,0.0-0.8,5000,5000,1.0,6.216624679599356e6
62,0.5-0.8,5000,5000,1.0,1.064674580204346e7
63,0.0-0.5,5000,5000,1.0,5.66953003912793e6
63,0.0-0.8,5000,5000,1.0,6.216669983599199e6
63,0.5-0.8,5000,5000,1.0,1.0646772274964541e7
64,0.0-0.5,5000,5000,1.0,5.669594710163069e6
64,0.0-0.8,5000,5000,1.0,6.216646234913334e6
64,0.5-0.8,5000,5000,1.0,1.0646785010740409e7
65,0.0-0.5,5000,5000,1.0,5.669595267116475e6
65,0.0-0.8,5000,5000,1.0,6.216585963672818e6
65,0.5-0.8,5000,5000,1.0,1.0646813747001598e7
66,0.0-0.5,5000,5000,1.0,5.6695375817806255e6
66,0.0-0.8,5000,5000,1.0,6.216711556608645e6
66,0.5-0.8,5000,5000,1.0,1.0646750018835686e7
67,0.0-0.5,5000,5000,1.0,5.669552876078835e6
67,0.0-0.8,5000,5000,1.0,6.216682679771622e6
67,0.5-0.8,5000,5000,1.0,1.0646753402466213e7
68,0.0-0.5,5000,5000,1.0,5.669487243300084e6
68,0.0-0.8,5000,5000,1.0,6.216586017004536e6
68,0.5-0.8,5000,5000,1.0,1.0646846606294861e7
69,0.0-0.5,5000,5000,1.0,5.66959078134132e6
69,0.0-0.8,5000,5000,1.0,6.216603192743364e6
69,0.5-0.8,5000,5000,1.0,1.0646769589326777e7
70,0.0-0.5,5000,5000,1.0,5.669599145311955e6
70,0.0-0.8,5000,5000,1.0,6.216673661453912e6
70,0.5-0.8,5000,5000,1.0,1.0646846402168382e7
71,0.0-0.5,5000,5000,1.0,5.669585734632262e6
71,0.0-0.8,5000,5000,1.0,6.216535367915392e6
71,0.5-0.8,5000,5000,1.0,1.064673637439903e7
72,0.0-0.5,5000,5000,1.0,5.66959484991452e6
72,0.0-0.8,5000,5000,1.0,6.21669799479855e6
72,0.5-0.8,5000,5000,1.0,1.0646761741796143e7
73,0.0-0.5,5000,5000,1.0,5.669516859973382e6
73,0.0-0.8,5000,5000,1.0,6.216634999944853e6
73,0.5-0.8,5000,5000,1.0,1.0646701416499835e7
74,0.0-0.5,5000,5000,1.0,5.669579636384233e6
74,0.0-0.8,5000,5000,1.0,6.216685231063564e6
74,0.5-0.8,5000,5000,1.0,1.0646791039843522e7
75,0.0-0.5,5000,5000,1.0,5.669533699045748e6
75,0.0-0.8,5000,5000,1.0,6.21654122998714e6
75,0.5-0.8,5000,5000,1.0,1.064683580140828e7
76,0.0-0.5,5000,5000,1.0,5.669504768098002e6
76,0.0-0.8,5000,5000,1.0,6.216680324309274e6
76,0.5-0.8,5000,5000,1.0,1.0646777315430028e7
77,0.0-0.5,5000,5000,1.0,5.669548572066629e6
77,0.0-0.8,5000,5000,1.0,6.216651401623884e6
77,0.5-0.8,5000,5000,1.0,1.0646672875867002e7
78,0.0-0.5,5000,5000,1.0,5.669536176754982e6
78,0.0-0.8,5000,5000,1.0,6.216678920803844e6
78,0.5-0.8,5000,5000,1.0,1.0646748205571784e7
79,0.0-0.5,5000,5000,1.0,5.669515448369952e6
79,0.0-0.8,5000,5000,1.0,6.216603649424195e6
79,0.5-0.8,5000,5000,1.0,1.0646854665377535e7
80,0.0-0.5,5000,5000,1.0,5.669592677221695e6
80,0.0-0.8,5000,5000,1.0,6.216601519228883e6
80,0.5-0.8,5000,5000,1.0,1.0646827839880958e7
81,0.0-0.5,5000,5000,1.0,5.669569572614025e6
81,0.0-0.8,5000,5000,1.0,6.216689854791492e6
81,0.5-0.8,5000,5000,1.0,1.0646701225503137e7
82,0.0-0.5,5000,5000,1.0,5.669577155954623e6
82,0.0-0.8,5000,5000,1.0,6.216657122879479e6
82,0.5-0.8,5000,5000,1.0,1.0646782740765283e7
83,0.0-0.5,5000,5000,1.0,5.669580535372534e6
83,0.0-0.8,5000,5000,1.0,6.216648295246656e6
83,0.5-0.8,5000,5000,1.0,1.0646818537314678e7
84,0.0-0.5,5000,5000,1.0,5.669595232897328e6
84,0.0-0.8,5000,5000,1.0,6.216634002740207e6
84,0.5-0.8,5000,5000,1.0,1.06468534890965e7
85,0.0-0.5,5000,5000,1.0,5.6695843501126515e6
85,0.0-0.8,5000,5000,1.0,6.216612515781131e6
85,0.5-0.8,5000,5000,1.0,1.0646732604844073e7
86,0.0-0.5,5000,5000,1.0,5.669546833108607e6
86,0.0-0.8,5000,5000,1.0,6.216660789717262e6
86,0.5-0.8,5000,5000,1.0,1.0646752335986968e7
87,0.0-0.5,5000,5000,1.0,5.669552200976397e6
87,0.0-0.8,5000,5000,1.0,6.216659540759906e6
87,0.5-0.8,5000,5000,1.0,1.0646773947635543e7
88,0.0-0.5,5000,5000,1.0,5.669580317798279e6
88,0.0-0.8,5000,5000,1.0,6.216709248747448e6
88,0.5-0.8,5000,5000,1.0,1.0646765398538487e7
89,0.0-0.5,5000,5000,1.0,5.669559123980748e6
89,0.0-0.8,5000,5000,1.0,6.216634257186173e6
89,0.5-0.8,5000,5000,1.0,1.0646760796738666e7
90,0.0-0.5,5000,5000,1.0,5.669538897565739e6
90,0.0-0.8,5000,5000,1.0,6.2166724692533035e6
90,0.5-0.8,5000,5000,1.0,1.064671898223633e7
91,0.0-0.5,5000,5000,1.0,5.669474526072127e6
91,0.0-0.8,5000,5000,1.0,6.216670269395418e6
91,0.5-0.8,5000,5000,1.0,1.064683276473471e7
92,0.0-0.5,5000,5000,1.0,5.669525999121898e6
92,0.0-0.8,5000,5000,1.0,6.216584760298129e6
92,0.5-0.8,5000,5000,1.0,1.0646730166258639e7
93,0.0-0.5,5000,5000,1.0,5.669519378397649e6
93,0.0-0.8,5000,5000,1.0,6.216653389231673e6
93,0.5-0.8,5000,5000,1.0,1.0646809547126101e7
94,0.0-0.5,5000,5000,1.0,5.669548826315635e6
94,0.0-0.8,5000,5000,1.0,6.2166543928276645e6
94,0.5-0.8,5000,5000,1.0,1.0646775406179914e7
95,0.0-0.5,5000,5000,1.0,5.669600537543387e6
95,0.0-0.8,5000,5000,1.0,6.216619888792663e6
95,0.5-0.8,5000,5000,1.0,1.0646712628696093e7
96,0.0-0.5,5000,5000,1.0,5.669481501985095e6
96,0.0-0.8,5000,5000,1.0,6.216685660961492e6
96,0.5-0.8,5000,5000,1.0,1.0646767251768157e7
97,0.0-0.5,5000,5000,1.0,5.669568713103086e6
97,0.0-0.8,5000,5000,1.0,6.216621472019552e6
97,0.5-0.8,5000,5000,1.0,1.0646737802302362e7
98,0.0-0.5,5000,5000,1.0,5.669552790126129e6
98,0.0-0.8,5000,5000,1.0,6.216628654252458e6
98,0.5-0.8,5000,5000,1.0,1.0646771339884961e7
99,0.0-0.5,5000,5000,1.0,5.669583343115763e6
99,0.0-0.8,5000,5000,1.0,6.216647028874896e6
99,0.5-0.8,5000,5000,1.0,1.0646754416551845e7
100,0.0-0.5,5000,5000,1.0,5.669589487592884e6
100,0.0-0.8,5000,5000,1.0,6.216603773901602e6
100,0.5-0.8,5000,5000,1.0,1.0646800205780363e7
